Date,Particulars,Voucher Type,Supplier Invoice No.,Supplier Invoice Date,GSTIN/UIN,GST Purchase,SGST,CGST,Invoice value (â‚,
03-Mar-20,INOX Air Products Pvt.Ltd,Purchase,GJ1901046221,03-Mar-20,24AAACI5569D1ZQ,"37,496.00","3,374.64","3,374.64","47,218.88",
05-Mar-20,INOX Air Products Pvt.Ltd,Purchase,GJ1901046761,05-Mar-20,24AAACI5569D1ZQ,"2,655.00",159.30,159.30,"39,236.18",
09-Mar-20,INOX Air Products Pvt.Ltd,Purchase,GJ1901046761,09-Mar-20,24AAACI5569D1ZQ,"30,731.00","2,765.79","2,765.79","39,236.18",
01-Mar-20,J B DIGITRONIC,Purchase,GJ1901045923,20-Feb-20,24AACCJ3016E1Z7,"2,655.00",0.00,159.30,"27,377.18",
01-Mar-20,J J COMPUTER,Purchase,GJ1901045923,01-Mar-20,24BPVPP2678J1Z2,"20,681.00",0.00,"1,861.29","27,377.18",
01-Jan-20,JAY BAJRANG TYRE SALES & SERVICE,Purchase,2597,08-Nov-19,24AASPA8001H1Z0,"10,781.26","1,509.38","1,509.38","13,800.02",
20-Jul-19,KHAN TRADERS,Purchase,62,20-Jul-19,24EUXPK2184N1ZR,"98,540.00","8,868.60","8,868.60","116,277.00",
31-Jul-19,Laxmi Enterprise,Purchase,16,31-Jul-19,24CTXPP8345M1ZL,"329,682.50","29,671.43","29,671.43","389,025.36",
04-Mar-20,Mohammad Salim & Brothers,Purchase,159,04-Mar-20,24AAIFM1380P1ZY,"127,050.00","11,434.50","11,434.50","149,920.00",
01-Mar-20,PRAKASH TUBES,Purchase,2163,17-Feb-20,"24AESPS3881B1Z8
","16,949.18","1,525.43","1,525.43","20,000.00",
21-Apr-19,Ramera Buildcon Pvt.Ltd,Purchase,4,21-Apr-19,24AAGCR7994F1ZY,"144,900.00","13,041.00","13,041.00","170,982.00",
21-Apr-19,Ramera Buildcon Pvt.Ltd,Purchase,5,21-Apr-19,24AAGCR7994F1ZY,"202,400.00","18,216.00","18,216.00","238,832.00",
27-Apr-19,Ramera Buildcon Pvt.Ltd,Purchase,7,27-Apr-19,24AAGCR7994F1ZY,"172,500.00","15,525.00","15,525.00","203,550.00",
01-Jun-19,Ramera Buildcon Pvt.Ltd,Purchase,11,01-Jun-19,24AAGCR7994F1ZY,"171,600.00","15,444.00","15,444.00","202,488.00",
03-Jun-19,Ramera Buildcon Pvt.Ltd,Purchase,13,03-Jun-19,24AAGCR7994F1ZY,"175,200.00","15,768.00","15,768.00","206,736.00",
05-Jun-19,Ramera Buildcon Pvt.Ltd,Purchase,16,05-Jun-19,24AAGCR7994F1ZY,"167,400.00","15,066.00","15,066.00","197,532.00",
03-Apr-19,Ranjit Buildcon Limited,Purchase,02,03-Apr-19,24AADCR4658R1ZP,"229,289.50","20,636.06","20,636.06",270561.62,
18-Apr-19,Ranjit Buildcon Limited,Purchase,11,18-Apr-19,24AADCR4658R1ZP,"190,514.50","17,146.31","17,146.31",224807.12,
01-May-19,Ranjit Buildcon Limited,Purchase,14,01-May-19,24AADCR4658R1ZP,"141,141.00","12,702.69","12,702.69",166546.38,
22-Jul-19,Ranjit Buildcon Limited,Purchase,20,22-Jul-19,24AADCR4658R1ZP,"198,900.00","17,901.00","17,901.00",234702,
05-Sep-19,Ranjit Buildcon Limited,Purchase,23,05-Sep-19,24AADCR4658R1ZP,"144,900.00","13,041.00","13,041.00",170982,
06-Sep-19,Ranjit Buildcon Limited,Purchase,25,06-Sep-19,24AADCR4658R1ZP,"203,550.00","18,319.50","18,319.50",240189,
11-Sep-19,Ranjit Buildcon Limited,Purchase,26,11-Sep-19,24AADCR4658R1ZP,"116,840.00","10,515.60","10,515.60",137871.2,
26-Sep-19,Ranjit Buildcon Limited,Purchase,GJ/AS/20/19-20,26-Sep-19,24AADCR4658R1ZP,"143,750.00","12,937.50","12,937.50",169625,
01-Oct-19,Ranjit Buildcon Limited,Purchase,24/19-20,01-Oct-19,24AADCR4658R1ZP,"298,220.00","26,839.80","26,839.80",351899.6,
01-Oct-19,Ranjit Buildcon Limited,Purchase,28/19-20,01-Oct-19,24AADCR4658R1ZP,"62,790.00","5,651.10","5,651.10",74092.2,
17-Oct-19,Ranjit Buildcon Limited,Purchase,31/19-20,17-Oct-19,24AADCR4658R1ZP,"117,520.00","10,576.80","10,576.80",138673.6,
18-Oct-19,Ranjit Buildcon Limited,Purchase,32/19-20,18-Oct-19,24AADCR4658R1ZP,"180,780.00","16,270.20","16,270.20",213320.4,
24-Oct-19,Ranjit Buildcon Limited,Purchase,33/19-20,24-Oct-19,24AADCR4658R1ZP,"164,220.00","14,779.80","14,779.80",193779.6,
07-Nov-19,Ranjit Buildcon Limited,Purchase,35,07-Nov-19,24AADCR4658R1ZP,"167,210.00","15,048.90","15,048.90",197307.8,
11-Nov-19,Ranjit Buildcon Limited,Purchase,36/19-20,11-Nov-19,24AADCR4658R1ZP,"171,350.00","15,421.50","15,421.50",202193,
25-Nov-19,Ranjit Buildcon Limited,Purchase,GJ/AS/42/19-20,25-Nov-19,24AADCR4658R1ZP,"375,000.00","33,750.00","33,750.00",442500,
16-Jan-20,Ranjit Buildcon Limited,Purchase,GJ/AS/61/19-20,16-Jan-20,24AADCR4658R1ZP,"224,640.00","20,217.60","20,217.60",265075.2,
