GSTIN of supplier,Trade/ Legal name of supplier,Invoice details,,,,Place of supply,Supply attract   reverse charge,Rate (%),Taxable value (â‚,Tax amount,,,,"Counterparty GSTR-1/5 filing date 
(DD/MM/YYYY)",ITC available,Reason for non accounting of ITC
,,Invoice number,Invoice type,Invoice date,Invoice value (â‚,,,,,Integrated tax  (â‚,Central tax (â‚,State/UT tax (â‚,Cess  (â‚,,,
24AAPCA4577Q1ZU,AVADHOOT PROJECT PVT LTD,10,R,12/06/2019,"130,000.00",Gujarat,N,18,"110,170.00",0.00,"9,915.30","9,915.30",0.00,11/07/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,563,R,17/06/2019,"2,832.00",Gujarat,N,18,"2,400.00",0.00,216.00,216.00,0.00,11/07/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,680,R,30/06/2019,"4,779.00",Gujarat,N,18,"4,050.00",0.00,365.00,365.00,0.00,11/07/2019,Yes,
24AAWFR0748J1ZP,ROHAN INFRASTRUCTURE,02,R,19/07/2019,"169,354.00",Gujarat,N,18,"143,520.00",0.00,"12,916.80","12,916.80",0.00,14/08/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,813,R,17/07/2019,"4,779.00",Gujarat,N,18,"4,050.00",0.00,365.00,365.00,0.00,10/08/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,940,R,31/07/2019,"3,363.00",Gujarat,N,18,"2,850.00",0.00,257.00,257.00,0.00,10/08/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901017132,R,01/08/2019,"92,976.92",Gujarat,N,18,"78,794.00",0.00,"7,091.46","7,091.46",0.00,06/09/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901019567,R,20/08/2019,"3,375.98",Gujarat,N,18,"2,861.00",0.00,257.49,257.49,0.00,06/09/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901019884,R,22/08/2019,"58,157.48",Gujarat,N,18,"49,286.00",0.00,"4,435.74","4,435.74",0.00,06/09/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901018937,R,14/08/2019,"54,379.12",Gujarat,N,18,"46,084.00",0.00,"4,147.56","4,147.56",0.00,06/09/2019,Yes,
