Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
SONACOMS,EQ,17-Sep-21,585.35,589,592.25,560.25,570,570.4,574.15,"21,13,066","1,21,32,18,966.35","60,832","7,16,109",33.89
SONACOMS,EQ,16-Sep-21,582.45,584.15,610,582.55,587.95,585.35,597.1,"43,61,456","2,60,42,42,329.45","98,067","13,72,092",31.46
SONACOMS,EQ,15-Sep-21,572,575.4,589.3,567.2,580.9,582.45,577.99,"32,07,889","1,85,41,24,343.75","83,841","8,94,464",27.88
SONACOMS,EQ,14-Sep-21,583.45,587.45,596.8,567.2,572,572,580.78,"30,46,264","1,76,92,02,175.85","78,254","11,31,500",37.14
SONACOMS,EQ,13-Sep-21,550.5,553,589.3,546,582.6,583.45,571.76,"56,95,633","3,25,65,42,292.20","1,04,010","11,84,200",20.79
SONACOMS,EQ,9-Sep-21,544.85,545.5,571,545.2,550,550.5,558.77,"45,21,235","2,52,63,32,448.35","88,130","10,22,746",22.62
SONACOMS,EQ,8-Sep-21,548.9,551.9,551.9,526.1,545.65,544.85,539.43,"32,17,349","1,73,55,44,720.30","71,027","10,28,558",31.97
SONACOMS,EQ,7-Sep-21,548.75,550.45,560.9,540.6,547,548.9,551.04,"35,24,987","1,94,24,24,138.55","73,062","6,11,758",17.35
SONACOMS,EQ,6-Sep-21,525.7,532.4,561.9,527.3,547,548.75,545.68,"59,41,536","3,24,21,51,284.95","1,16,945","10,27,314",17.29
SONACOMS,EQ,3-Sep-21,494.55,496,538.8,491,526.5,525.7,523.37,"83,77,452","4,38,44,90,281.05","1,51,847","21,76,484",25.98
SONACOMS,EQ,2-Sep-21,498.45,498.5,511,493,494,494.55,500.62,"15,25,755","76,38,29,529.95","48,127","6,17,278",40.46
SONACOMS,EQ,1-Sep-21,500.1,500.1,513.1,496,498,498.45,502.71,"17,01,574","85,53,96,949.20","35,778","4,35,591",25.6
SONACOMS,EQ,31-Aug-21,512.65,510,518.8,496.4,499.5,500.1,508.37,"25,02,460","1,27,21,78,443.40","55,378","6,79,608",27.16
SONACOMS,EQ,30-Aug-21,474.2,483,521.7,483,514.5,512.65,506.2,"57,69,574","2,92,05,63,517.25","1,21,288","19,90,865",34.51
SONACOMS,EQ,27-Aug-21,471.5,471,478.9,467.2,475.2,474.2,472.6,"13,46,020","63,61,28,870.15","29,591","2,95,035",21.92
SONACOMS,EQ,26-Aug-21,472.4,475,484,466.15,470.3,471.5,473.97,"26,58,679","1,26,01,22,024.70","57,216","8,16,780",30.72
SONACOMS,EQ,25-Aug-21,450.15,457,491.15,455.25,475.5,472.4,475.68,"46,91,070","2,23,14,25,447.30","1,05,706","13,10,276",27.93
SONACOMS,EQ,24-Aug-21,445.2,448.65,456.5,440.2,454,450.15,447.97,"28,49,668","1,27,65,73,375.20","66,885","13,47,642",47.29
SONACOMS,EQ,23-Aug-21,466.35,472.15,480.9,438.15,444.45,445.2,452.35,"26,57,952","1,20,23,32,871.30","66,378","11,16,916",42.02
SONACOMS,EQ,20-Aug-21,473.75,467.6,493,463,465,466.35,475.27,"24,41,515","1,16,03,81,726.25","64,280","6,61,777",27.11
SONACOMS,EQ,18-Aug-21,496.35,498.95,504.75,464.1,474,473.75,480.92,"36,23,680","1,74,26,82,876.70","89,779","14,68,084",40.51
SONACOMS,EQ,17-Aug-21,516.25,515.4,523.8,494,496.55,496.35,507.38,"28,46,613","1,44,43,08,460.10","81,553","15,17,454",53.31
SONACOMS,EQ,16-Aug-21,501.8,503.5,542,493.05,514.8,516.25,520.91,"58,38,267","3,04,12,24,736.65","1,49,834","17,78,574",30.46
SONACOMS,EQ,13-Aug-21,491.25,494.15,517.4,494.15,499.1,501.8,506.49,"27,97,664","1,41,69,93,584.60","63,712","10,18,705",36.41
SONACOMS,EQ,12-Aug-21,498.9,503.7,508.75,486.85,492.2,491.25,495.91,"19,18,516","95,14,18,834.00","46,032","7,16,703",37.36
SONACOMS,EQ,11-Aug-21,489.35,497.8,522.9,478.35,499,498.9,501.55,"75,78,893","3,80,12,09,407.10","1,53,914","13,19,688",17.41
SONACOMS,EQ,10-Aug-21,477.8,481.25,559.4,474,492,489.35,514.95,"2,08,50,838","10,73,71,36,480.15","3,85,955","44,66,174",21.42
SONACOMS,EQ,9-Aug-21,411.45,427.7,486.7,427.25,472.9,477.8,465.52,"1,31,61,558","6,12,69,85,381.05","2,04,715","47,77,775",36.3
SONACOMS,EQ,6-Aug-21,409.5,410.2,422.5,408,415.55,411.45,413.96,"17,36,766","71,89,60,225.05","38,643","10,50,553",60.49
SONACOMS,EQ,5-Aug-21,421.95,424.9,425,408,409,409.5,413.46,"14,76,251","61,03,78,088.85","69,714","8,56,747",58.04
SONACOMS,EQ,4-Aug-21,436.05,439.75,439.75,421,422,421.95,430.45,"16,74,935","72,09,78,920.55","50,078","12,13,439",72.45
SONACOMS,EQ,3-Aug-21,439.25,443,446.8,432.2,434.3,436.05,441.04,"9,09,060","40,09,30,123.20","29,956","4,61,774",50.8
SONACOMS,EQ,2-Aug-21,439.25,442.65,454.25,435.5,439,439.25,444.89,"24,78,124","1,10,24,91,337.50","60,205","11,67,273",47.1
SONACOMS,EQ,30-Jul-21,435.4,432.85,443.95,426.7,436.05,439.25,437.83,"18,33,069","80,25,72,597.65","29,559","9,11,693",49.74
SONACOMS,EQ,29-Jul-21,418.75,420.75,438.95,416.1,435.25,435.4,431.88,"25,48,002","1,10,04,22,941.95","53,220","13,49,096",52.95
SONACOMS,EQ,28-Jul-21,396.6,400.45,424.3,395.5,416.25,418.75,411.59,"47,90,986","1,97,18,98,053.55","1,01,539","22,47,917",46.92
SONACOMS,EQ,27-Jul-21,405.55,408,415.45,393.85,396,396.6,404.95,"23,30,599","94,37,79,322.60","59,571","9,63,924",41.36
SONACOMS,EQ,26-Jul-21,423.25,424,424,402.6,403.5,405.55,412.08,"34,91,888","1,43,89,30,962.55","66,349","18,93,208",54.22
SONACOMS,EQ,23-Jul-21,440.5,441,452.9,418.75,420.6,423.25,434.89,"43,78,428","1,90,41,29,694.40","77,243","20,91,322",47.76
SONACOMS,EQ,22-Jul-21,439.85,428,452,411.1,452,440.5,426.66,"94,50,575","4,03,21,70,481.75","1,38,994","47,51,401",50.28
SONACOMS,EQ,20-Jul-21,393.8,401.7,456.9,392,426,439.85,424.21,"83,24,982","3,53,15,80,214.55","1,24,930","31,79,374",38.19
SONACOMS,EQ,19-Jul-21,401.5,399.5,404.95,388,396.5,393.8,395.73,"12,20,437","48,29,59,240.50","33,038","5,56,171",45.57
SONACOMS,EQ,16-Jul-21,394.7,400,409,399.2,400.95,401.5,404.03,"10,23,571","41,35,55,585.70","20,322","4,57,750",44.72
SONACOMS,EQ,15-Jul-21,401.8,404.7,409.3,392.2,392.85,394.7,402.03,"7,27,281","29,23,86,044.75","14,828","3,17,453",43.65
SONACOMS,EQ,14-Jul-21,402.05,404.95,406.95,399,402.1,401.8,402.78,"6,25,983","25,21,31,910.85","11,652","2,62,497",41.93
SONACOMS,EQ,13-Jul-21,409.1,411,415.5,400.4,401.25,402.05,407.57,"15,26,457","62,21,33,516.95","29,164","7,04,241",46.14
SONACOMS,EQ,12-Jul-21,422.25,424.9,427,402,408,409.1,411.89,"18,45,286","76,00,55,514.00","35,542","9,31,464",50.48
SONACOMS,EQ,9-Jul-21,402.45,400,426.8,398.05,420,422.25,411.18,"38,86,823","1,59,81,68,867.05","62,784","19,19,661",49.39
SONACOMS,EQ,8-Jul-21,405.35,404.75,412.4,396.1,401,402.45,402.56,"24,21,453","97,47,82,683.45","34,395","12,31,889",50.87
SONACOMS,EQ,7-Jul-21,388,384.25,420.8,378.5,401.7,405.35,403.72,"59,35,443","2,39,62,81,825.50","1,06,686","23,04,058",38.82
SONACOMS,EQ,6-Jul-21,383.05,382.65,395.7,376,380.15,388,387.15,"35,04,682","1,35,68,29,588.85","79,929","19,91,496",56.82
SONACOMS,EQ,5-Jul-21,377.45,381.4,387.9,366.5,382.05,383.05,377.21,"31,50,274","1,18,83,26,917.20","65,106","18,82,680",59.76
SONACOMS,EQ,2-Jul-21,344.95,343,385,341.3,377,377.45,369.3,"46,00,866","1,69,91,20,507.75","1,39,571","19,90,701",43.27
SONACOMS,EQ,1-Jul-21,342.3,342,350,333.25,345.1,344.95,343.19,"17,40,419","59,72,99,380.45","41,653","9,86,952",56.71
